project_id,building_id,designation_id,project_halted,project_general_last_update,building_count,designation_count,gush,helka,X,Y,municipality_id,municipality_name,building_info_last_update,building_street,building_address_number,building_address_entrance,building_migrash,floors_above_ground,building_area,standard_name_id,standard_name,standard_designation_id,standard_designation_name,standard_designation_main_use,main_use_name,route,designation_area,residential_units,designation_info_last_update,certification_status,certificate_date_pre,certificate_insert_date_pre,certificate_score_pre,certificate_stars_pre,certificate_energy_pre,certificate_date_a,certificate_insert_date_a,certificate_score_a,certificate_stars_a,certificate_energy_a,certificate_date_b,certificate_insert_date_b,certificate_score_b,certificate_stars_b,certificate_energy_b,designation_info_status
2,2,2,הבדיקה בוצעה,26/10/2023,1,1,7932,505/449,186427.27642906,689833.47091694,50,נתניה,18/10/2023,"שד בן צבי ",,,,27,32897,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,32897,300,28/08/2023,שלב א,,,,,,31/08/2023,18/10/2023,65.5,2,B,,,,,,לא סופי
52,50,46,הבדיקה בוצעה,26/10/2023,1,1,"6580 ",173,187783.2928209,676647.57566117,73,רעננה,12/01/2022,"מוצקין ","6 ",,,6,1400,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1400,8,08/08/2022,שלב א,,,,,,09/08/2023,16/10/2023,57.5,1,B,,,,,,לא סופי
66,63,59,הבדיקה בוצעה,16/07/2023,1,1,7057,33,177558.77885348,660850.36915773,76,תל אביב - יפו,10/07/2023,"נחל שורק ",5,,2085,2,1500,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,1500,0,16/07/2023,שלב ב,,,,,,,,,,,11/12/2017,12/09/2023,55,1,A,לא סופי
73,70,66,הבדיקה בוצעה,28/12/2023,1,1,8996,4,176435.08485683,660944.37831183,76,תל אביב - יפו,10/07/2023,טולוז,3,,0,3,1200,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,1200,0,10/07/2023,שלב ב,,,,,,,,,,,14/11/2017,12/09/2023,55,1,A,לא סופי
81,78,74,הבדיקה בוצעה,27/12/2023,1,1,6212,191,180234.56429431,666950.81774038,76,תל אביב - יפו,10/07/2023,שלומציון המלכה,65,,0,1,1149,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,1149,0,10/07/2023,שלב ב,,,,,,,,,,,20/04/2017,12/09/2023,55,1,A,לא סופי
107,102,98,הבדיקה בוצעה,13/07/2023,1,1,6523,3007,183245.7478912,674996.287,21,הרצליה,10/07/2023,המסילה,19,,315,0,0,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,0,0,10/07/2023,שלב ב,,,,,,,,,,,12/11/2017,12/09/2023,55,1,A,לא סופי
129,123,118,הבדיקה בוצעה,16/07/2023,1,1,7121,12+29,175582.7412717,657311.90844975,16,בת ים,08/03/2022,הקוממיות,,,75,33,14276,10,2011 - התשע״א,51,מגורים,10,מגורים,חדש,14276,128,16/07/2023,שלב ב,,,,,,,,,,,01/12/2021,06/03/2022,67.3,2,B,לא סופי
132,126,121,הבדיקה בוצעה,03/10/2023,1,1,3703,295,181911.79956506,644945.6398352,69,רחובות,09/03/2022,לוין אפשטיין,37,,295,9,4505,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4505,23,05/01/2022,שלב מקדמי,05/01/2022,09/03/2022,56.5,1,C,,,,,,,,,,,לא סופי
135,127,122,הבדיקה בוצעה,25/07/2024,2,1,4042,"94,96,98",190592.88454801,664857.87368582,55,פתח תקווה,30/06/2023,"הנביאים ",17-19,,2016,11,2316,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2316,0,20/12/2022,שלב מקדמי,21/12/2022,01/07/2023,60.5,1,B,,,,,,,,,,,לא סופי
135,128,123,הבדיקה בוצעה,25/07/2024,2,1,4042,"94,96,98",190592.88454801,664857.87368582,55,פתח תקווה,30/06/2023,"הנביאים ",19-21,,2016,11,2745,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2745,0,20/12/2022,שלב מקדמי,21/12/2022,01/07/2023,60.5,1,B,,,,,,,,,,,לא סופי
139,133,128,הבדיקה בוצעה,25/07/2024,2,1,6387,"172,173",189348.5761001,665140.47674267,55,פתח תקווה,01/07/2023,"ברנדה ",40,,,11,3482,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3482,36,05/01/2023,שלב מקדמי,05/01/2023,01/07/2023,58,1,C,,,,,,,,,,,לא סופי
139,134,129,הבדיקה בוצעה,25/07/2024,2,1,6387,"172,173",189348.5761001,665140.47674267,55,פתח תקווה,01/07/2023,"ברנדה ",42,,,11,2877,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2877,36,05/01/2023,שלב מקדמי,05/01/2023,01/07/2023,58,1,C,,,,,,,,,,,לא סופי
140,135,130,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,8,,1625 / 134,11,3500,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3500,31,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
140,136,131,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,8,,1625 / 134,11,0,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,0,0,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
140,137,132,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,10,,1626 / 135,11,3500,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3500,31,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
140,138,133,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,10,,1626 / 135,11,0,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,0,0,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
141,139,134,הבדיקה בוצעה,25/07/2024,2,1,3850,"98 ,49",181082.6635971,647857.8896995,45,נס ציונה,30/06/2023,העבודה,8,,98,6,3068,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,3068,0,30/11/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
143,142,136,הבדיקה בוצעה,25/07/2024,1,1,6973,213,179126.7317543,662230.64583863,76,תל אביב - יפו,17/11/2022,מסילת ישרים,76,,,5,150,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,150,12,26/11/2022,שלב מקדמי,26/11/2022,30/06/2023,67,2,B,,,,,,,,,,,לא סופי
144,143,137,הבדיקה בוצעה,25/07/2024,1,1,6217,316,179670.98032507,665575.69589292,76,תל אביב - יפו,25/06/2023,"רמברנדט ",18,,2268,8,2261,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2261,20,23/10/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
145,144,138,הבדיקה בוצעה,05/12/2024,2,1,7136,367,176390.21841722,658460.44562061,16,בת ים,27/07/2022,"פנקס ",7,,,5,1203,5,2016 סיוון התשע״ו - מאי,22,מגורים - תוספת,10,מגורים,תוספת,1203,16,26/07/2022,שלב מקדמי,26/07/2022,27/07/2022,59,1,C,,,,,,,,,,,לא סופי
145,145,139,הבדיקה בוצעה,05/12/2024,2,1,7136,367,176390.21841722,658460.44562061,16,בת ים,20/06/2023,"מנדלי ",8,,,5,1237,5,2016 סיוון התשע״ו - מאי,22,מגורים - תוספת,10,מגורים,תוספת,1237,16,26/07/2022,שלב מקדמי,26/07/2022,27/07/2022,59,1,C,,,,,,,,,,,לא סופי
146,146,140,הבדיקה בוצעה,12/11/2024,1,1,7145,65,175907.10135845,659271.06160359,16,בת ים,18/12/2022,הרצל 33 בת ים,33,,,10,2978,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2978,41,14/07/2024,שלב מקדמי,15/02/2021,04/06/2023,59,1,C,,,,,,,,,,,לא סופי
148,148,142,הבדיקה בוצעה,09/12/2024,3,1,10756,13,197124.76274376,745689.3911989,24,חיפה,25/07/2024,שלמה המלך,6,,101,21,1250,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1250,125,21/09/2021,שלב מקדמי,19/09/2021,30/09/2021,64,1,C,,,,,,,,,,,לא סופי
148,149,143,הבדיקה בוצעה,09/12/2024,3,1,10756,13,197124.76274376,745689.3911989,24,חיפה,30/09/2021,שלמה המלך,,,101,22,1240,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1240,124,21/09/2021,שלב מקדמי,19/09/2021,30/09/2021,64,1,C,,,,,,,,,,,לא סופי
